"IdFormulario","IdPregunta","Operacion","Parametro","IdVariable"
"101","10105","RANGO_TICKETS","CANTIDAD_TICKETS","10101"
"101","10105","RANGO_TICKETS","DISPONIBILIDAD","10104"
"101","10105","RANGO_TICKETS","HORARIO_ATENCION","10103"
"101","10105","RANGO_TICKETS","OPERACION_DELEGADA","10102"
"101","10105","RANGO_TICKETS","VALOR_UNITARIO","10105"
"102","10205","RANGO_TICKETS","VALOR_UNITARIO","10205"
"103","10305","RANGO_TICKETS","VALOR_UNITARIO","10305"
"104","10405","RANGO_TICKETS","CANTIDAD_TICKETS","10401"
"104","10405","RANGO_TICKETS","HORARIO_ATENCION","10403"
"104","10405","RANGO_TICKETS","DISPONIBILIDAD","10404"
"104","10405","RANGO_TICKETS","VALOR_UNITARIO","10405"
"105","10505","RANGO_TICKETS","VALOR_UNITARIO","10505"
"200","2005","SERVICIOS_EXCEL","PRODUCTO_SERVICIO","2001"
"200","2005","SERVICIOS_EXCEL","PERFIL","2002"
"200","2005","SERVICIOS_EXCEL","PORCENTAJE","2003"
"200","2005","SERVICIOS_EXCEL","DISPONIBILIDAD","2004"
"200","2005","SERVICIOS_EXCEL","TOTAL_SERVICIO","2005"
"301","30115","RANGO_TICKETS","CANTIDAD_TICKETS","30104"
"301","30115","RANGO_TICKETS","OPERACION_DELEGADA","30105"
"301","30115","RANGO_TICKETS","HORARIO_ATENCION","30106"
"301","30115","RANGO_TICKETS","DISPONIBILIDAD","30107"
"301","30115","RANGO_TICKETS","VALOR_UNITARIO","30115"
"301","30116","SERVICIOS_EXCEL","PRODUCTO_SERVICIO","30108"
"301","30116","SERVICIOS_EXCEL","PERFIL","30109"
"301","30116","SERVICIOS_EXCEL","PORCENTAJE","30103"
"301","30116","SERVICIOS_EXCEL","DISPONIBILIDAD","30110"
"301","30116","SERVICIOS_EXCEL","TOTAL_SERVICIO","30116"
"2","50","RANGO_TICKETS","CANTIDAD_TICKETS","46"
"2","50","RANGO_TICKETS","OPERACION_DELEGADA","47"
"2","50","RANGO_TICKETS","HORARIO_ATENCION","48"
"2","50","RANGO_TICKETS","DISPONIBILIDAD","49"
"2","50","RANGO_TICKETS","VALOR_UNITARIO","50"
"302","30205","RANGO_TICKETS","CANTIDAD_TICKETS","30201"
"302","30205","RANGO_TICKETS","OPERACION_DELEGADA","30202"
"302","30205","RANGO_TICKETS","HORARIO_ATENCION","30203"
"302","30205","RANGO_TICKETS","DISPONIBILIDAD","30204"
"302","30205","RANGO_TICKETS","VALOR_UNITARIO","30205"
